Num of 404/errors: 0,Crawled: 1,URL: https://www.bbc.com/afrique, Size: 539565 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:12, Elapsed time: 0h 0m 5.0s
Num of 404/errors: 0,Crawled: 2,URL: https://www.bbc.com/, Size: 676445 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:12, Elapsed time: 0h 0m 5.1s
Num of 404/errors: 0,Crawled: 3,URL: https://www.bbc.com/afaanoromoo, Size: 694303 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.2s
Num of 404/errors: 0,Crawled: 4,URL: https://www.bbc.com/azeri, Size: 288845 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.4s
Num of 404/errors: 0,Crawled: 5,URL: https://www.bbc.com/bengali, Size: 457390 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.4s
Num of 404/errors: 0,Crawled: 6,URL: https://www.bbc.com/dari, Size: 419372 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.4s
Num of 404/errors: 0,Crawled: 7,URL: https://www.bbc.com/newsletters, Size: 87781 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.5s
Num of 404/errors: 0,Crawled: 8,URL: https://www.bbc.com/future/article/20260128-how-to-make-google-put-trusted-sources-up-top-when-you-search, Size: 334484 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.5s
Num of 404/errors: 0,Crawled: 9,URL: https://www.bbc.com/editorialguidelines/guidance/links-and-feeds, Size: 328508 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.5s
Num of 404/errors: 0,Crawled: 10,URL: https://advertising.bbcstudios.com/, Size: 45427 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.6s
Num of 404/errors: 0,Crawled: 11,URL: https://www.bbc.com/mundo, Size: 446171 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.7s
Num of 404/errors: 1,Crawled: 12,URL: https://www.bbc.com/japanese, Size: 456954 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.8s
Num of 404/errors: 1,Crawled: 13,URL: https://www.bbc.com/pages/content-index, Size: 215841 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.8s
Num of 404/errors: 1,Crawled: 14,URL: https://www.bbc.com/korean, Size: 392344 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.9s
Num of 404/errors: 1,Crawled: 15,URL: https://www.bbc.com/indonesia, Size: 488843 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 5.9s
Num of 404/errors: 1,Crawled: 16,URL: https://www.bbc.com/naidheachdan, Size: 580570 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 6.0s
Num of 404/errors: 1,Crawled: 17,URL: https://www.bbc.com/magyarul, Size: 288760 bytes, Status: 200, Depth: 1, Time: 2026-09-23 20:46:13, Elapsed time: 0h 0m 6.0s
